BOM Variant,vad_description1,Component Variant,Quantity,Build per,Time (hrs)
10097,150-1-DEB Rose,SUB10097,1.0,1,0.0
10097,150-1-DEB Rose,10271,1.0,1,0.0
10134,188-1 Assembled Can,10138,1.0,1,0.162110727
10134,188-1 Assembled Can,11218,1.0,1,0.162110727
10135,188-1 Spout,11008,1.0,1,0.023699789
10136,188-1 Cross Stay,11012,1.0,1,0.034552949
10137,188-1 Body,11006,1.0,1,0.011141127
10138,1 Gallon Base,11078,187.0,1000,0.007279373
10139,1 Gallon Neck and Breast,10141,1.0,1,0.052678571
10139,1 Gallon Neck and Breast,10140,1.0,1,0.052678571
10140,1 Gallon Neck,11030,1.0,2,0.0
10140,1 Gallon Neck,10814,1.0,1,0.0
10140,1 Gallon Neck,SUB10140,1.0,1,0.0
10141,1 Gallon Breast,SUB10141,1.0,1,0.0
10141,1 Gallon Breast,11032,1.0,5,0.0
10144,198-1 Assembled Can,10138,1.0,1,0.161378892
10144,198-1 Assembled Can,11217,1.0,1,0.161378892
10145,198-1 Spout,11009,1.0,1,0.025590143
10146,198-1 Cross Stay,11013,1.0,1,0.034651667
10147,198-1 Body,11006,1.0,1,0.012248447
10159,188-2 Assembled Can,10163,1.0,1,0.175180748
10159,188-2 Assembled Can,11220,1.0,1,0.175180748
10160,188-2 Spout,11010,1.0,1,0.029937778
10161,188-2 Cross Stay,11014,1.0,1,0.025518387
10162,188-2 Body,11007,1.0,1,0.011944214
10163,2 Gallon Base,11079,230.0,1000,0.004444444
10164,2 Gallon Neck and Breast,10165,1.0,1,0.056301277
10164,2 Gallon Neck and Breast,10166,1.0,1,0.056301277
10165,2 Gallon Neck,11031,1.0,2,0.0
10165,2 Gallon Neck,11099,1.0,1,0.0
10166,2 Gallon Breast,SUB10166,1.0,1,0.019665653
10166,2 Gallon Breast,11033,1.0,4,0.019665653
10169,198-2 Ferrule - Assembled Can,10163,1.0,1,0.166295218
10169,198-2 Ferrule - Assembled Can,11219,1.0,1,0.166295218
10170,198-2 Spout,11011,1.0,1,0.031555105
10171,198-2 Cross Stay,11015,1.0,1,0.034941292
10172,198-2 Body,11007,1.0,1,0.013215121
10177,Moulded Rose - F2 Round Rose (Fine as Rain),SUB10177,1.0,1,0.0
10177,Moulded Rose - F2 Round Rose (Fine as Rain),10178,1.0,1,0.0
10178,Face - 335-2 & F2 (Fine - Round - Plastic),11080,1.0,1,0.004732652
10180,Moulded Rose - F3 Round Rose (Fine as Rain),SUB10180,1.0,1,0.0
10180,Moulded Rose - F3 Round Rose (Fine as Rain),11058,1.0,1,0.0
10181,F7 Face ,10468,21.0,1000,0.001207013
10183,Moulded Rose - F4 Oval Rose (Fine as Rain),SUB10183,1.0,1,0.0
10183,Moulded Rose - F4 Oval Rose (Fine as Rain),10184,1.0,1,0.0
10184,Face - 330-1 & F4 (Extra Fine - Oval - Plastic),11081,1.0,1,0.008295522
10186,Moulded Rose - F5 Oval Rose (Fine as Rain),SUB10186,1.0,1,0.0
10186,Moulded Rose - F5 Oval Rose (Fine as Rain),10252,1.0,1,0.0
10189,Moulded Rose - F6 Oval Rose (Fine as Rain),SUB10189,1.0,1,0.0
10189,Moulded Rose - F6 Oval Rose (Fine as Rain),10190,1.0,1,0.0
10190,Face - 330-3 & F6 (Coarse - Oval - Plastic),11081,1.0,1,0.007777483
10192,Moulded Rose - F7 Round Rose (Fine as Rain),SUB10192,1.0,1,0.0
10192,Moulded Rose - F7 Round Rose (Fine as Rain),10181,1.0,1,0.0
10195,Moulded Rose - F8 Round Rose (Fine as Rain),SUB10195,1.0,1,0.0
10195,Moulded Rose - F8 Round Rose (Fine as Rain),10196,1.0,1,0.0
10196,F8 Face ,10468,21.0,1000,0.00067625
10198,Moulded Rose - F9 - Seedspray Rose (Fine as Rain),SUB10198,1.0,1,0.0
10198,Moulded Rose - F9 - Seedspray Rose (Fine as Rain),10199,1.0,1,0.0
10199,F9 - Face,10497,12.0,1000,0.003225
10202,F10 Face,11082,1.0,1,0.003460276
10205,F11 Face ,10497,12.0,1000,0.003225
10207,Moulded Rose - F12 Oval Rose (Fine as Rain),SUB10207,1.0,1,0.0
10207,Moulded Rose - F12 Oval Rose (Fine as Rain),10258,1.0,1,0.0
10210,Moulded Rose - F14 Round Rose (Fine as Rain),SUB10210,1.0,1,0.0
10210,Moulded Rose - F14 Round Rose (Fine as Rain),10211,1.0,1,0.0
10211,F14 Face ,10468,21.0,1000,0.000666667
10213,Moulded Rose - F16 Jumbo Rose (Fine as Rain),SUB10213,1.0,1,0.0
10213,Moulded Rose - F16 Jumbo Rose (Fine as Rain),10243,1.0,1,0.0
10223,320-2a Oval Rose - Polished,10991,1.0,1,0.017577968
10224,320-2a Oval Rose - Face & Back Assembled,10521,1.0,1,0.009392934
10224,320-2a Oval Rose - Face & Back Assembled,10253,1.0,1,0.009392934
10232,325-1 Round Rose - Polished,10233,1.0,1,0.026202186
10233,325-1 Round Rose - Assembled & Soldered,11128,1.0,1,0.051998183
10233,325-1 Round Rose - Assembled & Soldered,10234,1.0,1,0.051998183
10233,325-1 Round Rose - Assembled & Soldered,10235,1.0,1,0.051998183
10234,Face - 325-1 (Extra Fine - Round - Brass),11080,1.0,1,0.007065
10235,Back - 325 Round Rose,10526,41.0,1000,0.011354
10237,325-4 Round Rose - Polished,10238,1.0,1,0.026457655
10238,325-4 Round Rose - Assembled & Soldered,11128,1.0,1,0.053023697
10238,325-4 Round Rose - Assembled & Soldered,10235,1.0,1,0.053023697
10238,325-4 Round Rose - Assembled & Soldered,10239,1.0,1,0.053023697
10239,Face - 325-4 (Extra Coarse - Round - Brass),11080,1.0,1,0.013606667
10241,350 Rose Polished,10242,1.0,1,0.017493725
10242,350 Rose - Soldered,10992,1.0,1,0.008817638
10243,Face - 350 & F16,10483,48.0,1000,0.001378139
10244,350 Rose Back,11088,1.0,1,0.013315924
10246,300 Rose Polished,10247,1.0,1,0.010478746
10247,300 Rose Assembled & Soldered,11111,1.0,1,0.022492386
10247,300 Rose Assembled & Soldered,10248,1.0,1,0.022492386
10247,300 Rose Assembled & Soldered,10249,1.0,1,0.022492386
10248,300 Rose Face,11101,1.0,1,0.00724
10249,300 Rose Back,11086,1.0,1,0.008107467
10251,Moulded Rose - 169-1.5-GRN Rose,SUB10251,1.0,1,0.0
10251,Moulded Rose - 169-1.5-GRN Rose,10258,1.0,1,0.0
10252,Face - 330-2 & F5 (Fine - Oval - Plastic),11089,1.0,1,0.00444638
10253,Face - 320-2a (Fine High Flow - Oval - Brass),11082,1.0,1,0.004938806
10258,Face - 330-2a & F12 (Fine High Flow - Oval - Plastic),11082,1.0,1,0.004602867
10266,Moulded Rose - 450 Green,ZZZ10266,1.0,1,0.0
10266,Moulded Rose - 450 Green,10267,1.0,1,0.0
10267,Face - 335-1 & F1 (Extra Fine - Round - Plastic),11080,1.0,1,0.004595
10271,150-1 Face,11100,1.0,1,0.001922425
10274,Moulded Rose - 100-2-GRN,SUB10274,1.0,1,0.0
10274,Moulded Rose - 100-2-GRN,10275,1.0,1,0.0
10275,100-2 Face,10536,7.0,1000,0.001811705
10278,S320-2a Threaded Oval Rose - Ferrule Soldered,10539,1.0,1,0.01923368
10278,S320-2a Threaded Oval Rose - Ferrule Soldered,10224,1.0,1,0.01923368
10280,S321-2-3 Threaded Round Brass Fine Spray - Polished,10281,1.0,1,0.0
10281,S321-2-3 Rose Assembled,10539,1.0,1,0.0
10281,S321-2-3 Rose Assembled,10234,1.0,1,0.0
10281,S321-2-3 Rose Assembled,10235,1.0,1,0.0
10283,Small Medallion,11083,1.0,1,0.00331106
10284,Large Medallion,11085,1.0,1,0.005335971
10292,½” BSPM Inlet Adaptor – Conveyor tube,10566,59.0,1000,0.016666667
10294,12.5mm Hose Inlet Adaptor – Conveyor Tube,10554,91.0,1000,0.058727984
10296,US Spec. Female Hose Inlet Adaptor – Conveyor Tube,10567,182.0,1000,0.059393382
10298,"Lance Tube with Fittings - 18"" Haws Trigger",403,1.0,1,0.066578483
10298,"Lance Tube with Fittings - 18"" Haws Trigger",404,1.0,1,0.066578483
10298,"Lance Tube with Fittings - 18"" Haws Trigger",10300,1.0,1,0.066578483
10300,Screw Rose Fitting – Spray Lance,10580,128.0,1000,0.062577447
10303,"Lance Tube with Fittings – 18"" Haws Ball Valve",10300,1.0,1,0.06483871
10303,"Lance Tube with Fittings – 18"" Haws Ball Valve",10304,1.0,1,0.06483871
10304,"18"" Reeded Tube with ¼” BSPM – Spray Lance",10570,174.0,1000,0.062011173
10305,Adaptor – ¼” BSPM to Conveyor Tube,10554,59.0,1000,0.045833333
10440,1 Gallon Handle - Electroplated ,SUB10440,1.0,1,0.0
10440,1 Gallon Handle - Electroplated ,10847,1.0,1,0.0
10453,2 Gallon Handle - Electroplated ,SUB10453,1.0,1,0.0
10453,2 Gallon Handle - Electroplated ,10848,1.0,1,0.0
10465,Moulded Rose - F1 Round Rose (Fine as Rain),SUB10465,1.0,1,0.0
10465,Moulded Rose - F1 Round Rose (Fine as Rain),10267,1.0,1,0.0
10498,Moulded Rose - F10 Oval Rose (Fine as Rain),SUB10498,1.0,1,0.0
10498,Moulded Rose - F10 Oval Rose (Fine as Rain),10202,1.0,1,0.0
10502,Moulded Rose - F11 Weedspray Rose (Fine as Rain),SUB10502,1.0,1,0.0
10502,Moulded Rose - F11 Weedspray Rose (Fine as Rain),10205,1.0,1,0.0
10521,Back - 320 Oval Rose,11087,1.0,1,0.011173251
10537,S320-2a - Threaded Oval Rose - Polished,10278,1.0,1,0.02787695
10539,No.2-3 Screw Female Ferrule,10580,128.0,1000,0.030551905
10685,155-2-GRN Painted Can,10659,30.0,1000,0.04429047
10685,155-2-GRN Painted Can,10002,1.0,1,0.04429047
10686,155-2-SAG Painted Can,10358,30.0,1000,0.045453333
10686,155-2-SAG Painted Can,10002,1.0,1,0.045453333
10687,165-2-GRN Painted Can,10659,30.0,1000,0.04516996
10687,165-2-GRN Painted Can,10016,1.0,1,0.04516996
10688,165-2-CLA Painted Can,10355,30.0,1000,0.045453333
10688,165-2-CLA Painted Can,10016,1.0,1,0.045453333
10689,165-2-CRM Painted Can,10350,30.0,1000,0.044117647
10689,165-2-CRM Painted Can,10016,1.0,1,0.044117647
10690,165-2-DEB Painted Can,10356,30.0,1000,0.045453333
10690,165-2-DEB Painted Can,10016,1.0,1,0.045453333
10691,165-2-GRA Painted Can,10357,62.5,1000,0.043846154
10691,165-2-GRA Painted Can,10016,1.0,1,0.043846154
10692,165-2-SAG Painted Can,10358,30.0,1000,0.045453333
10692,165-2-SAG Painted Can,10016,1.0,1,0.045453333
10693,180-2 Polished Can,10024,1.0,1,0.091734118
10694,9222-CRM Painted Jug,10350,50.0,1000,0.03928533
10694,9222-CRM Painted Jug,11255,1.0,1,0.03928533
10695,9222-GRA Painted Jug,10357,50.0,1000,0.039435644
10695,9222-GRA Painted Jug,11255,1.0,1,0.039435644
10696,9222-SAG Painted Jug,10358,50.0,1000,0.037230769
10696,9222-SAG Painted Jug,11255,1.0,1,0.037230769
10697,188-1-GRN Painted Can,10659,70.0,1000,0.078933333
10697,188-1-GRN Painted Can,10134,1.0,1,0.078933333
10698,198-1-GRN Painted Can,10659,70.0,1000,0.075568
10698,198-1-GRN Painted Can,10144,1.0,1,0.075568
10699,198-1-SAG Painted Can,10358,70.0,1000,0.078933333
10699,198-1-SAG Painted Can,10144,1.0,1,0.078933333
10703,198-1-GRA Painted Can,10357,127.3,1000,0.078462687
10703,198-1-GRA Painted Can,10144,1.0,1,0.078462687
10704,188-2-GRN Painted Can,10659,100.0,1000,0.079113846
10704,188-2-GRN Painted Can,10159,1.0,1,0.079113846
10705,198-2-GRN Painted Can,10659,100.0,1000,0.079086022
10705,198-2-GRN Painted Can,10169,1.0,1,0.079086022
10722,Raised Lever - Trigger Unit,10721,89.0,1000,0.0
10725,Pump Head Assembly - Hypro Silver (3 Gallon) ,5286,1.0,1,0.0
10725,Pump Head Assembly - Hypro Silver (3 Gallon) ,5288,1.0,1,0.0
10725,Pump Head Assembly - Hypro Silver (3 Gallon) ,2481,1.0,1,0.0
10725,Pump Head Assembly - Hypro Silver (3 Gallon) ,5252,1.0,1,0.0
10741,160-2 Polished Can,10744,1.0,1,0.091889655
10744,160-2 Assembled Can,10031,1.0,1,0.026749117
10744,160-2 Assembled Can,11196,1.0,1,0.026749117
10745,160-2 Spout Blank (Copper),10028,55.0,1000,0.0
10746,Small Medallion (Copper),11084,1.0,1,0.0
10747,165-2-BUR Painted Can,10447,62.5,1000,0.037944444
10747,165-2-BUR Painted Can,10016,1.0,1,0.037944444
10753,160-1 Polished Can,10756,1.0,1,0.071299639
10756,160-1 Assembled Can,10031,1.0,1,0.027522727
10756,160-1 Assembled Can,11233,1.0,1,0.027522727
10757,1 Pint Spout Blank (Copper),10997,36.0,1000,0.001496233
10758,1 Pint Body Blank (Copper),11155,1.0,1,0.005559761
10759,188-1-BUR Painted Can,10447,70.0,1000,0.080308555
10759,188-1-BUR Painted Can,10134,1.0,1,0.080308555
10761,188-1-CRM Painted Can,10350,70.0,1000,0.080308555
10761,188-1-CRM Painted Can,10134,1.0,1,0.080308555
10763,188-1-DEB Painted Can,10356,70.0,1000,0.080308555
10763,188-1-DEB Painted Can,10134,1.0,1,0.080308555
10765,188-1-GRA Painted Can,10357,115.0,1000,0.080308555
10765,188-1-GRA Painted Can,10134,1.0,1,0.080308555
10767,188-1-SAG Painted Can,10358,70.0,1000,0.080308555
10767,188-1-SAG Painted Can,10134,1.0,1,0.080308555
10769,188-2-GRA Painted Can,10357,100.0,1000,0.078908046
10769,188-2-GRA Painted Can,10159,1.0,1,0.078908046
10771,188-2-SAG Painted Can,10358,100.0,1000,0.078908046
10771,188-2-SAG Painted Can,10159,1.0,1,0.078908046
10773,188-1-COP Polished Can,10775,1.0,1,0.078908046
10775,188-1-COP Assembled Can,ZZZ10216,1.0,1,0.078908046
10775,188-1-COP Assembled Can,10776,1.0,1,0.078908046
10775,188-1-COP Assembled Can,10777,1.0,1,0.078908046
10775,188-1-COP Assembled Can,10778,1.0,1,0.078908046
10775,188-1-COP Assembled Can,10779,1.0,1,0.078908046
10775,188-1-COP Assembled Can,10780,1.0,1,0.078908046
10775,188-1-COP Assembled Can,10781,1.0,1,0.078908046
10776,1 Gallon Copper Handle,10785,323.0,1000,0.0
10777,190-2 Spout (Copper),11415,1.0,1,0.0
10778,190-1 Cross Stay (Copper),10782,96.0,1000,0.0
10779,190-2 Body (Copper),11416,1.0,1,0.0
10780,1 Gallon Base (Copper),10782,234.0,1000,0.0
10781,1 Gallon Neck and Breast (Copper),10783,1.0,1,0.0
10781,1 Gallon Neck and Breast (Copper),10784,1.0,1,0.0
10783,1 Gallon Breast Blank (Copper),10782,234.0,1000,0.0
10784,1 Gallon Neck Blank (Copper),10782,117.0,1000,0.0
10786,9222-DEB Painted Jug,10356,50.0,1000,0.04
10786,9222-DEB Painted Jug,11255,1.0,1,0.04
10796,Moulded Rose - 100-2-BLU,SUB10796,1.0,1,0.0
10796,Moulded Rose - 100-2-BLU,10275,1.0,1,0.0
10797,Moulded Rose - 100-2-DEB,SUB10797,1.0,1,0.0
10797,Moulded Rose - 100-2-DEB,10275,1.0,1,0.0
10799,Moulded Rose - 100-2-RED,SUB10799,1.0,1,0.0
10799,Moulded Rose - 100-2-RED,10275,1.0,1,0.0
10800,Moulded Rose - 100-2-SAG,SUB10800,1.0,1,0.0
10800,Moulded Rose - 100-2-SAG,10275,1.0,1,0.0
10801,Moulded Rose - 100-2-YEL,SUB10801,1.0,1,0.0
10801,Moulded Rose - 100-2-YEL,10275,1.0,1,0.0
10814,2.5mm x 328mm Steel Wire (Stocked per Piece),10983,13.0,1000,0.0
10817,9222-BUR Painted Jug,10447,50.0,1000,0.035714286
10817,9222-BUR Painted Jug,11255,1.0,1,0.035714286
10829,155-1 Assembled Can,10009,1.0,1,0.067697316
10829,155-1 Assembled Can,11192,1.0,1,0.067697316
10832,1 Pint Body Blank (Galv.),11055,32.0,1000,0.006891203
10833,1 Pint Spout Blank (Galv.),11040,72.0,1000,0.002
10836,155-1-GRN Painted Can,10659,20.0,1000,0.039684725
10836,155-1-GRN Painted Can,10829,1.0,1,0.039684725
10837,155-1-SAG Painted Can,10358,20.0,1000,0.045453333
10837,155-1-SAG Painted Can,10829,1.0,1,0.045453333
10840,198-2-GRA Painted Can,10357,132.0,1000,0.079435484
10840,198-2-GRA Painted Can,10169,1.0,1,0.079435484
10843,198-2-SAG Painted Can,10358,100.0,1000,0.079435484
10843,198-2-SAG Painted Can,10169,1.0,1,0.079435484
10847,1 Gallon Handle - Ends Formed,11051,1.0,1,0.013991667
10848,2 Gallon Handle - Ends Formed,11056,1.0,1,0.01229
10851,165-2-TTM Painted Can,10751,30.0,1000,0.045453333
10851,165-2-TTM Painted Can,10016,1.0,1,0.045453333
10854,186-4 Spout,11092,3415.0,10000,0.029046154
10854,186-4 Spout,SUB11092,1.0,1,0.029046154
10855,186-4 Cross Stay,SUB11095,1.0,1,0.025249196
10855,186-4 Cross Stay,11095,1243.0,10000,0.025249196
10856,186-4 Body,11122,1.0,1,0.010725
10857,2 Gallon Base - CR,11294,230.0,1000,0.003799135
10858,2 Gallon Neck 186-4 - CR,11124,1.0,2,0.0
10858,2 Gallon Neck 186-4 - CR,SUB10858,1.0,1,0.0
10858,2 Gallon Neck 186-4 - CR,11099,1.0,1,0.0
10859,2 Gallon Breast Blank - CR,SUB10859,1.0,1,0.0
10859,2 Gallon Breast Blank - CR,11123,1.0,4,0.0
10861,2 Gallon Neck and Breast - CR,10859,1.0,1,0.024146545
10861,2 Gallon Neck and Breast - CR,10858,1.0,1,0.024146545
10862,186-4 Ferrule-Assembled Can,11127,1.0,1,0.21967027
10862,186-4 Ferrule-Assembled Can,10863,1.0,1,0.21967027
10863,186-4 Galvanised Can,SUB10863,1.0,1,0.022444444
10863,186-4 Galvanised Can,11222,1.0,1,0.022444444
10864,186-4-GRN Painted Can,10659,100.0,1000,0.080948617
10864,186-4-GRN Painted Can,10862,1.0,1,0.080948617
10941,Indoor Handle (Copper),10025,1.0,1,0.010791265
10942,2 Pint Cross Stay (Copper),10026,1.0,1,0.010684
10943,160-1 Spout (Copper),10757,1.0,1,0.029484848
10944,180-2 Spout (Copper - Ferrule),11110,1.0,1,0.04479098
10944,180-2 Spout (Copper - Ferrule),10028,1.0,1,0.04479098
10948,Neck and Breast Indoor (Copper),11227,1.0,1,0.011179717
10948,Neck and Breast Indoor (Copper),11228,1.0,1,0.011179717
10949,160-2 Spout (Copper),10745,1.0,1,0.03058
10950,Indoor Handle (Galv.),10003,1.0,1,0.011084243
10951,2 Pint Cross Stay (Galv'),10004,1.0,1,0.008442039
10952,155-1 Spout (Galv'),10833,1.0,1,0.029507692
10953,165-2 Spout (Galv' - Ferrule),11110,1.0,1,0.046615
10953,165-2 Spout (Galv' - Ferrule),10017,1.0,1,0.046615
10957,Neck and Breast Indoor (Galv.),11225,1.0,1,0.012316398
10957,Neck and Breast Indoor (Galv.),11226,1.0,1,0.012316398
10958,155-2 Spout (Galv'),10017,1.0,1,0.034612698
10991,320-2a Oval Rose - Ferrule Soldered,11128,1.0,1,0.008946901
10991,320-2a Oval Rose - Ferrule Soldered,10224,1.0,1,0.008946901
10992,"350 Rose - Face, Back, and Ferrule Assembled",11130,1.0,1,0.005848917
10992,"350 Rose - Face, Back, and Ferrule Assembled",10243,1.0,1,0.005848917
10992,"350 Rose - Face, Back, and Ferrule Assembled",10244,1.0,1,0.005848917
10999,S325-4 Threaded Round Rose - Assembled,10235,1.0,1,0.0
10999,S325-4 Threaded Round Rose - Assembled,10239,1.0,1,0.0
10999,S325-4 Threaded Round Rose - Assembled,10539,1.0,1,0.0
11000,S325-4 - Threaded Round Rose - Polished,10999,1.0,1,0.0
11008,188-1 Spout Blank - Isosceles Trapezoid 468mm x 114mm x 60mm ( all +/- 0.4mm) x 0.5mm DX53+Z 0.5 Gauge,11147,252.0,1000,0.0
11008,188-1 Spout Blank - Isosceles Trapezoid 468mm x 114mm x 60mm ( all +/- 0.4mm) x 0.5mm DX53+Z 0.5 Gauge,SUB11008,1.0,1,0.0
11009,198-1 Spout Blank - Isosceles Trapezoid 335mm x 114mm x 80mm ( all +/- 0.4mm) x 0.5mm DX53+Z 0.5 Gauge,11147,189.0,1000,0.0
11009,198-1 Spout Blank - Isosceles Trapezoid 335mm x 114mm x 80mm ( all +/- 0.4mm) x 0.5mm DX53+Z 0.5 Gauge,SUB11007,1.0,1,0.0
11010,188-2 Spout Blank - Isosceles Trapezoid 594mm x 125mm x 60mm ( all +/- 0.4mm) x 0.5mm DX53+Z 0.5 Gauge,SUB11010,1.0,1,0.0
11010,188-2 Spout Blank - Isosceles Trapezoid 594mm x 125mm x 60mm ( all +/- 0.4mm) x 0.5mm DX53+Z 0.5 Gauge,11132,342.0,1000,0.0
11011,198-2 Spout Blank - Isosceles Trapezoid 415mm x 125mm x 80mm ( all +/- 0.4mm) x 0.5mm DX53+Z 0.5 Gauge,11132,163.0,1000,0.0
11011,198-2 Spout Blank - Isosceles Trapezoid 415mm x 125mm x 80mm ( all +/- 0.4mm) x 0.5mm DX53+Z 0.5 Gauge,SUB11011,1.0,1,0.0
11014,188-2 Cross Stay Blank - 412mm (+0.0/-0.5mm) x 73mm (+0.0/-0.5mm) x 0.5mm DX53+Z 0.5 Gauge,SUB11014,1.0,1,0.0
11014,188-2 Cross Stay Blank - 412mm (+0.0/-0.5mm) x 73mm (+0.0/-0.5mm) x 0.5mm DX53+Z 0.5 Gauge,11095,120.0,1000,0.0
11033,2 Gallon Breast Multi-Strip - 254mm (+/-0.5mm) x 1050mm (+/-5mm) DX53+Z 0.5 Gauge (4 Breasts per Strip),11094,833.0,1000,0.0
11033,2 Gallon Breast Multi-Strip - 254mm (+/-0.5mm) x 1050mm (+/-5mm) DX53+Z 0.5 Gauge (4 Breasts per Strip),SUB2003,1.0,1,0.0
11057,Moulded Rose - 168-1.5-GRN Rose,SUB11057,1.0,1,0.0
11057,Moulded Rose - 168-1.5-GRN Rose,10243,1.0,1,0.0
11058,Face - 335-3 & F3 (Coarse - Round - Plastic),11080,1.0,1,0.004175869
11059,Face - 320-1 (Extra Fine - Oval - Brass),11081,1.0,1,0.009335
11060,Face - 320-2 (Fine - Oval - Brass),11089,1.0,1,0.00365
11061,Face - 320-3 (Coarse - Oval - Brass),11081,1.0,1,0.00788
11062,Face - 325-2 (Fine - Round - Brass),11080,1.0,1,0.007745
11063,Face - 325-3 (Coarse - Round - Brass),11080,1.0,1,0.007745
11064,Face - 335-4 (Extra Coarse - Round - Plastic),11080,1.0,1,0.004595
11065,320-1 Oval Rose - Face & Back Assembled,10521,1.0,1,0.009300368
11065,320-1 Oval Rose - Face & Back Assembled,11059,1.0,1,0.009300368
