Variant code,Variant description,Estimated cost
10998,Copper Coil C106 1/2 Hard - 133mm x 0.4mm (Stocked per KG - 25Kg Coil),9.65
11002,"6 x 8"" Heavy Duty Clear Polythene Bag",0.0339
11004,Promo Seeded Paper (Business Card Size),0.133
11005,Promo Seeded Paper (Comp Slip Size),0.3199
11006,1 Gallon Body Blank - 560.4mm (+/- 0.2mm) x 209mm (+/- 0.4mm) x 0.5mm DX52+Z 0.5 Gauge,0.3833
11007,2 Gallon Body Blank - 641.4mm (+/- 0.2mm) x 260.4mm (+/- 0.4mm) x 0.5mm DX52+Z 0.5 Gauge,0.5608
11012,188-1 Cross Stay Blank - 340mm (+0.0/-0.5mm) x 63.5mm (+0.0/-0.5mm) x 0.5mm DX53+Z 0.5 Gauge,0.0724
11013,198-1 Cross Stay Blank - 255mm (+0.0/-0.5mm) x 63.5mm (+0.0/-0.5mm) x 0.5mm DX53+Z 0.5 Gauge,0.07
11015,198-2 Cross Stay Blank - 315mm (+0.0/-0.5mm) x 73mm (+0.0/-0.5mm) x 0.5mm DX53+Z 0.5 Gauge,0.08
11020,188-1 & 198-1 (1 Gallon) Carton-Rose Insert,0.317
11021,188-2 & 198-2 (2 Gallon) Carton-Rose Insert,0.4693
11022,Mist Sprayer Hinge Carton,0.53
11024,165 & 180 Hinge Carton,0.582
11025,565 & 580 Hinge Carton,0.5967
11026,250 Hinge Carton,0.645
11027,350 General Purpose Rose Hinge Carton & Fitment,0.165
11028,188-2 New Carton,1.2526
11029,188-1 New Carton,1.377
11030,1 Gallon Neck Blank - 348mm (+0.0/-0.5mm) x 210mm (+0.0/-0.5mm) DX53+Z 0.5 Gauge (2 Necks per Blank),0.4
11031,2 Gallon Neck Blank - 413mm (+0.0/-0.5mm) x 229mm +(0.0/-0.5mm) DX53+Z 0.5 Gauge (2 Necks per Blank),0.3599
11032,1 Gallon Breast Multi-Strip - 228mm (+/-0.5mm) x 1200mm (+/-5mm) DX53+Z 0.5 Gauge (5 Breasts per Strip) ,0.89
11033,2 Gallon Breast Multi-Strip - 254mm (+/-0.5mm) x 1050mm (+/-5mm) DX53+Z 0.5 Gauge (4 Breasts per Strip),0.9918
11034,168-1.5-GRN Plastic Short Reach Accessories - Green ,0.0
11035,Copper Coil C106 1/2 Hard - 169mm x 0.4mm (Stocked per Kg - 25Kg per Coil),9.65
11036,Copper Coil C106 1/2 Hard - 243.5mm x 0.4mm (Stocked per Kg - 25kg Coil),10.2774
11037,Copper Coil C106 1/2 Hard - 218mm x 0.4mm (Stocked per Kg - 25Kg Coil),9.65
11038,Copper Coil C106 1/2 Hard - 357mm x 0.4mm (Stocked per Kg - 25Kg Coils),8.14
11039,"RS PRO M20 Cable Gland With Locknut, Nylon, IP68",1.2063
11040,Pre-Galv' Steel Coil DX52 - 181mm x 0.4mm (Stocked per Kg),0.815
11041,Pre-Galv' Steel Coil DX54 - 133mm x 0.4mm (Stocked per Kg),0.85
11042,Pre-Galv' Steel Coil DX52 - 169mm x 0.4mm (Stocked per Kg),0.85
11043,Pre-Galv' Steel Coil DX52 - 243.5mm x 0.4mm (Stocked per Kg),0.85
11044,Pre-Galv' Steel Coil DX52 - 218mm x 0.4mm (Stocked per Kg),0.815
11045,300 Indoor Rose Match Box,0.0882
11046,Can Wrap - 169-1.5,0.289
11047,Can Wrap - 168-1.5,0.0911
11049,170-1.5 Carton,1.562
11050,170-1.5 Fitment,0.551
11051,"1 Gallon Handle - Bent, Cut, and Notched",1.6
11053,"1/4"" M/F Adaptor (For Guage Extension)",0.5
11054,Cox Gun (370) Carton,0.0
11055,Pre-Galv' Steel Coil DX52 - 357mm x 0.4mm (Stocked per kg),0.84
11056,"2 Gallon Handle - Bent, Cut, and Notched",1.95
11078,"0.5mm Zinc Coil 508 I/D x 228.6mm ( 9"") (Stocked per KG 100KG Coils)",6.6105
11079,"0.5mm Zinc Coil 508 I/D x 254.0mm (10"")(Stocked per KG 100KG Coils)",7.2
11091,Steel Coil Pre Galv 260.4mm - 0.5mm  - 2 Gal Body Coil -  Stocked Per KG,1.05
11092,Steel Coil CR1 145mm - 0.5mm - 2 Gal Spout Coil - HDG - Stocked Per KG,0.93
11093,Steel Coil Pre Galv DX53 413mm - 0.5mm - 2 Gal Neck Coil - Stocked Per KG,1.05
11094,Steel Coil Pre Galv DX53 254mm - 0.5mml - 2 Gal Breast Coil -  Stocked Per KG,1.05
11095,Steel Coil Pre Galv 72mm - 0.5mm  - 2 Gal Cross Stay Coil -  Stocked Per KG,0.975
11096,Bright Mild Steel Wire 2.5mm Diameter (Stocked per KG),1.2
11097,Sarah Raven Swing Tag and String,0.316
11098,Powder Paint RAL5021 Blue Gloss - Sarah Raven Teal,4.75
11099,2.5mm x 385mm Steel Wire (Stocked per Piece),0.12
11102,320-1 Rose Box & Fitment,0.372
11103,320-2 Rose Box & Fitment,0.372
11104,320-2a Rose Box & Fitment,0.2463
11105,320-3 Rose Box & Fitment,0.372
11106,325-1 Rose Box & Fitment,0.3691
11107,325-2 Rose Box & Fitment,0.357
11108,325-3 Rose Box & Fitment,0.372
11109,325-4 Rose Box & Fitment,0.3676
11110,No.1 Male - CW724R Brass Can Ferrule 8.95mm DIA 18mm LONG (Lead Content less than 0.1%),0.1387
11111,No.1 Female - CZ121 Brass Rose Ferrule 9.53 DIA 12.5mm LONG (Lead Content less than 0.1%),0.1041
11114,Large Medallion Adhesive Disc - 26mm Dia. with 5mm Tab GPH-060GF,0.0681
11115,Small Medallion Adhesive Disc - 20mm Dia. with 5mm Tab GPH-060GF,0.0567
11116,Brass Rod 2.5mm dia x 1000mm  (Lead Content less than 0.1%),2.25
11122,2 Gallon HDG Body Blank - 641.4mm (+/- 0.2mm) x 260.4mm (+/- 0.4mm) x 0.5mm CR1,0.6106
11123,2 Gallon 186-4 Breast Multi-Strip - 254mm (+/-0.5mm) x 1200mm (+/-5mm) x 0.5mm CR1 (4 Breasts per Strip),1.14
11124,2 Gallon 186-4 Neck Blank - 413mm (+0.0/-0.5mm) x 229mm (+0.0/-0.5mm) x 0.5mm CR1 (2 Necks per Blank),0.36
11127,No.3 Male - CZ121 Brass Ferrule 15.88mm Outside Diameter x 31.86mm Long (Lead Content less than 0.1%),0.2765
11128,No.3 Female - CW508L Brass Ferrule 17.46mm Outside Diameter x 20.06mm Long (Lead Content less than 0.1%),0.2597
11129,No.4 Male - CZ121 Brass Ferrule 21.83mm Outside Diameter x 32.86mm Long  (Lead Content less than 0.1%),0.4224
11130,No.4 Female - CZ121 Brass Ferrule 24mm Outside Diameter x 25mm Long  (Lead Content less than 0.1%),0.456
11131,No.3 Knurled Male - CZ121 Brass Ferrule Knurled 16mm Outside Diameter x 31.86mm Long (Lead Content less than 0.1%),0.3824
11132,Steel Coil Pre-Galv' DX52 - 145 x 0.5mm 2 Gal Spout Coil (Stocked per kg),0.8216
11134,Jug New Carton,0.524
11135,150-1 Langley Sprinkler Carton,0.38
11136,100-2 Bartley Burbler Carton,0.42
11137,Spindle (Lathe Operations) - Adustable Nozzle,1.27
11138,Steel Coil Pre Galv' DX52 0.5mm Stocked Per KG,1.05
11139,Control Valve Bottom - Fully Machined,4.12
11147,Pre Galv Steel Coil 135mm - 0.5mm DX52 - 1 Gal Spout Coil - Stocked Per KG,0.9327
11148,169 & 170 Handle,0.6419
11149,169 & 170 Cross Stay,0.3635
11150,169 & 170 Sealing Ring,0.3572
11151,169-1.5 Spout (Plastic End),1.2806
11154,Steel Coil CR1  254mm - 0.5mml - 2 Gal Breast Coil -  Stocked Per KG,1.3
11155,1 Pint Body Blank Copper - 62.75mm x 357mm  x 0.4mm C106 1/2 Hard  tolerance +0.5/-0,0.7797
11156,2 Pint Body Blank Copper - 114.25mm x 357mm  x 0.4mm C106 1/2 Hard  tolerance +0.5/-0,1.4185
11157,Hypro Con Rod,0.0
11158,Hypro Bearing Shield,0.0
11159,Hypro Crankshaft Circlip ,0.0
11160,Hypro Grease Fitting Assembly ,0.0
11162,330-1 Header Card,0.06
11163,330-2 Header Card,0.06
11164,330-2a Header Card,0.06
11165,330-3 Header Card,0.06
11166,335-1 Header Card,0.06
11167,335-2 Header Card,0.06
11168,335-3 Header Card,0.06
11169,335-4 Header Card,0.06
11170,Haws Multipurpose 'Rose' Box ,0.515
11171,Whisper Purple Microfiber Cloth 20cm x 20cm,0.52
11172,Green Premium Microfiber Cloth 32cm x 32cm,0.46
11174,Bleached Cotton Gloves (pack of 12),5.2
11175,Orange Sticks,0.0218
11176,Peek Polish 50ml tube,2.29
11177,2 Gallon Neck Wire,0.095
11179,790 Wooden Handle - Single,0.0
11206,Steel Coil CR1  72mm - 0.5mm  - 2 Gal Cross Stay Coil -  Stocked Per KG,0.93
11223,850 Selly Soak Swing Tag,0.1658
11224,Copper Polishing Card (300gsm Gloss FSC),0.022
11229,Haws Classic T-Shirt - Small,14.88
11230,Haws Classic T-Shirt - Medium,14.88
11231,Haws Classic T-Shirt - Large,14.88
11232,Haws Classic T-Shirt - Extra Large,14.88
11235,Powder - Signal Red  (Stocked per KG),7.76
11237,Powder - Wine Red (Stocked per KG),8.47
11238,Powder - Yellow Olive (Stocked per KG),6.0
11239,Powder - Copper Brown (Stocked per KG),7.09
11250,Gardenheir Swing Tag and String,0.292
11251,Goodee Swing Tag and String,0.4951
11253,Powder - Purple Violet (Stocked Per KG),8.18
11258,Powder -Pastel Violet (Gloss) -  stocked per kg,8.29
11259,Powder - Pink Clay (Gloss) -  stocked per kg ,8.29
11260,Powder - Yellow Grey (Gloss) -  stocked per kg,5.95
11261,Powder - Granite White (Gloss) -  stocked per kg,5.95
11262,Powder - Bluebell Meadow (Gloss) -  stocked per kg,6.59
11263,Powder - Deep Blue (Gloss) -  stocked per kg,16.06
11264,Powder - Fern Green (Gloss) -  stocked per kg,16.06
11265,Powder - Summer Sky Blue (Gloss) -  stocked per kg,16.06
11266,Powder - Misty Lilac (Gloss) -  stocked per kg,16.06
11267,Powder - Sunflower Yellow (Gloss) -  stocked per kg,18.05
11268,Powder - Apple Green (Gloss) -  stocked per kg,17.31
11269,Powder - Terracotta Orange (Gloss) -  stocked per kg,16.06
11270,Powder - Peppercorn Pink (Gloss) -  stocked per kg,16.06
11294,"0.5mm CR4 Coil 508 I/D x 254.0mm (10"")(Stocked per KG 100KG Coils)",0.865
11297,"Burford Garden Co, Swing Tag and String",0.5607
11298,2000 x 1000 x 0.5mm Copper sheet C106 half hard temper EN 13599,11.6
11300,Urban Swing Tag and String,0.5191
11301,169 GRN Long Reach Accessories & Spout ,1.48
11302,1 Gallon Body Blank - 560.4mm (+/- 0.2mm) x 209mm (+/- 0.4mm) x 0.5mm CR1,0.39
11303,186-1 Cross Stay Blank - 340mm (+0.0/-0.5mm) x 63.5mm (+0.0/-0.5mm) x 0.5mm CR1,0.09
11304,186-1 Spout Blank - Isosceles Trapezoid 468mm x 114mm x 60mm ( all +/- 0.4mm) x 0.5mm CR1,0.622
11305,1 Gallon Breast Multi-Strip - 228mm (+/-0.5mm) x 1200mm (+/-5mm) CR1 ,0.93
11306,1 Gallon Neck Blank - 348mm (+0.0/-0.5mm) x 210mm (+0.0/-0.5mm) CR1 (2 Necks per Blank) ,0.25
11307,"1 Gallon Base 0.5mm 508 I/D x 228.6mm ( 9"") CR1",0.835
11308,Single Bleached Cotton Glove,0.0
11401,"0.5mm x 508 I/D x 254.0mm (10"")(Stocked per KG 100KG Coils) Copper C106 Half Hard",0.0
11402,9223 New Carton,0.392
11405,Pot Inner 7028  for The Aston Glimmer 8T (9223-8T),5.2696
11406,"2 Gallon Copper Handle - Bent, Cut, and Notched",7.96
11453,Brass Sheet - 70/30 soft - 2 Metre x 1 Metre x 0.5mm,15.66
11495,Brass Coil 70/30 Dead soft - 133mm x 0.4mm (Stocked per KG - 25Kg Coil) (Lead Content less than 0.1%),8.49
11496,Brass Coil 70/30 Dead Soft - 218mm x 0.4mm (Stocked per Kg - 25Kg Coil)  (Lead Content less than 0.1%),8.49
11497,Brass Coil 70/30 Dead Soft - 181mm x 0.4mm (Stocked per Kg - 25Kg Coil) (Lead Content less than 0.1%),8.49
11498,1 Pint Body Blank Brass -70/30 Dead Soft -  62.75mm x 357mm  x 0.4mm  tolerance +0.5/-0,1.08
11499,Brass Coil 70/30 Dead Soft - 243.5mm x 0.4mm (Stocked per Kg - 25kg Coil) (Lead Content less than 0.1%),8.49
11500,Brass Coil 70/30 Dead Soft - 169mm x 0.4mm (Stocked per Kg - 25Kg per Coil)  (Lead Content less than 0.1%),8.49
11501,2 Pint Body Blank Brass - 70/30 Dead Soft - 114.25mm x 357mm  x 0.4mm tolerance +0.5/-0,1.3
11505,Brass Downspout - Machined CW510L Lead Free Brass,3.07
11506,Swing Tag - 100-2 - The Bartley Burbler - Two Pint (1 Litre) - 5mm Hole,0.0
11507,Swing Tag - 150-1 - The Langley Sprinkler - One Pint (0.7 Litre) - 5mm Hole,0.0
11508,Swing Tag - 450 - The Sutton Splash - Four Pint (2.25 Litre) - 10mm Hole,0.0
11509,Swing Tag - 850 - The Selly Soak - One Gallon (4.5 Litre) - 10mm Hole,0.0
11510,Swing Tag - 169 - The Cradley Cascader - One and a Half Gallon (6.8 Litre) - 10mm Hole,0.0
11511,Swing Tag - 170 - The Cradley Cascader Deluxe - One and a Half Gallon - 5mm Hole + String,0.0
11512,Swing Tag - 155-1 - The Fazeley Flow - One Pint - 5mm Hole + String,0.0
11513,Swing Tag - 155-2 - The Fazeley Flow - Two Pint - 5mm Hole + String,0.0
11514,Swing Tag - 165 - The Rowley Ripple - Two Pint - 5mm Hole + String,0.0
11515,Swing Tag - 160-1 - The Fazeley Flow Copper - One Pint - 5mm Hole + String,0.0
11516,Swing Tag - 160-2 - The Fazeley Flow Copper - Two Pint - 5mm Hole + String,0.0
11517,Swing Tag - 180-2 - The Rowley Ripple Copper - Two Pint - 5mm Hole + String,0.0
11518,Swing Tag - 2915 - The Smethwick Spritzer - 5mm Hole + String,0.0
11519,Swing Tag - 198-1 - The Bearwood Brook - One Gallon - 5mm Hole + String,0.0
11520,Swing Tag - 198-2 - The Bearwood Brook - Two Gallon - 5mm Hole + String,0.0
11521,Swing Tag - 188-1 - The Warley Fall - One Gallon - 5mm Hole + String,0.0
11522,Swing Tag - 188-2 - The Warley Fall - Two Gallon - 5mm Hole + String,0.0
11523,Swing Tag - 186-1 - The Warley Fall HDG - One Gallon - 5mm Hole + String,0.0
11524,Swing Tag - 186-4 - The Warley Fall HDG - Two Gallon - 5mm Hole + String,0.0
11525,Swing Tag - 190-1 - The Warley Fall Copper - One Gallon - 5mm Hole + String,0.0
11526,Swing Tag - 190-2 - The Warley Fall Copper - Two Gallon - 5mm Hole + String,0.0
11527,Swing Tag - 320 & 325 - All Brass Rose - 5mm or No Hole,0.0
11528,Swing Tag - 9222 - The Haws Jug - 5mm Hole + String,0.0
11529,Swing Tag - 565 - The Rowley Ripple and Smethwick Spritzer - 5mm Hole + String,0.0
11530,Swing Tag - 580 - The Rowley Ripple and Smethwick Spritzer Copper - 5mm Hole + String,0.0
11531,Swing Tag - EL24 - The Haws Spray Lance - 5mm Hole + String,0.0
11532,"Haws Shelf Edge Strip ""DESIGNED, ENGINEERED & MADE IN ENGLAND""",1.05
11533,"Haws Shelf Edge Strip with Roundel ""MADE FOR LIFE""",1.59
11534,150-1 Freestanding Product Card,2.18
11535,100-2 Freestanding Product Card,2.18
128,Snap-on Socket with 6.3mm ID Hose Inlet ,3.8767
131,Cream-Gel Applicator - 5l Plastic Tank ,18.48
1378, Digital Breakout Barometric Air Pressure Temperature Sensor Module Board ,1.16
146,Ball Valve (Red Lever) M/F – ¼” BSP,1.7
147,Ball Valve (Thumb) – ¼” BSP,2.92
1607,198-1 Cross Stay Coil - 63mm (+0.0/-0.5mm) x 0.5mm DX53+Z 0.5 Gauge,1.3
1615,188-2 Spout Coil 150mm Galv,1.05
167,Spacing Ring - Circular Spray Nozzle ,0.05
172,6 Litre Galvanised Tank ,85.57
173,10 Litre Galvanised Tank ,95.6
1856,87150 Assorted Washproof Plasters (Box-100),0.0
2008,ZNS1142,0.0
2057,Lawson 20A NIT HRC Fuse,2.35
2081,3 Core 1.5 Blue Cable (Stocked per Meter),1.0375
2082,3 Core 1.5 Yellow Cable (Stocked per Meter),1.0144
2093,Brass Ring - Trigger Unit ,0.15
2124,Snap Action Switches SPDT QC StrghtButton 10A 1/4,5.04
221,10mm Injector Nozzle Tube – Mild Steel 330 mm,0.22
2232,Black Handle – Conveyor Tube ,0.02
2267,M6 x 30mm Bolt ,0.0316
2268,Top Stamping - Control Valve ,2.47
2269,M6 Nut ,0.0291
2270,M6 Washer ,0.0115
2276,Pass Labels,0.035
236,10mm Injector Nozzle Tube – Brass 380 mm,1.02
237,Cox Caulking Gun ,17.43
239,G2 Plunger Green – Caulking Gun ,0.94
241,Nozzle Holder Mk1 & O Ring – Caulking Gun ,2.17
2416,Blanking Plug 1/4BSP,0.25
242,Plastic 2 Start Cap – Caulking Gun ,0.83
243,Blue Nozzle 9mm – Caulking Gun ,0.18
2548,Knob - Control Valve ,0.649
2602,Body Stamping - Trigger Unit ,4.63
2668,"Ball Pein Hammer, 1/4lb, Hickory Shaft, Polished Face",0.0
36,IK Sprayer Viton Seal Kit ,0.0
409,Brass Ring - Adjustable Spray Nozzle ,0.087
42,Valve Spindle - Trigger Unit,0.8625
4410,Protimeter Mini (BLD2000),94.85
4425,MMS 2 Instrument Comp (BLD8800),428.2205
4705,"Poly Bag 20"" x 30"" x 200g Natural Polythene Bags",0.2
4706,Coach Bolt - M10 x 40mm ,0.055
4730,"Plastic Air Brick - 9"" x 3"" Terracotta ",1.61
4731,"Plastic Air Brick - 9"" x 6"" Terracotta ",2.56
4732,"Plastic Air Brick - 9"" x 3"" Blue/Black ",1.96
4733,"Plastic Air Brick - 9"" x 6"" Blue/Black ",3.21
